id|version|type|emotion_level|emotion_intensity|direction|text
12001|1|prosody|||문장 끝을 자연스럽게 올리며 질문하듯 읽어주세요|오늘 회의는 몇 시에 시작하나요?
12002|1|prosody|||핵심 단어를 살짝 강조하며 설명하듯 읽어주세요|이 부분이 가장 중요합니다.
12003|1|prosody|||차분하게 정보를 전달하듯 읽어주세요|지금부터 설명을 시작하겠습니다.
12004|1|prosody|||상대의 의견을 묻듯 부드럽게 읽어주세요|다른 방법도 있을까요?
12005|1|prosody|||조금 기다려 달라고 안내하듯 읽어주세요|조금만 더 기다려 주세요.
12006|1|prosody|||확인하듯 또렷하게 읽어주세요|이 내용을 다시 확인해 보겠습니다.
12007|1|prosody|||상황을 정리하듯 차분하게 읽어주세요|지금 상황을 다시 설명드리겠습니다.
12008|1|prosody|||다음 순서를 안내하듯 읽어주세요|이제 다음 단계로 넘어가겠습니다.
12009|1|prosody|||중요한 포인트를 짚듯 읽어주세요|여기서 중요한 점을 강조하겠습니다.
12010|1|prosody|||해결책을 고민하듯 질문 느낌으로 읽어주세요|이 문제를 어떻게 해결할까요?
12011|1|prosody|||가볍게 일정을 묻듯 읽어주세요|오늘 일정이 어떻게 되나요?
12012|1|prosody|||정중하게 요청하듯 읽어주세요|이 부분을 다시 한번 확인해 주세요.
12013|1|prosody|||이해 여부를 확인하듯 읽어주세요|지금 설명드린 내용 이해되셨나요?
12014|1|prosody|||확신을 담아 짧게 읽어주세요|이 방법이 가장 효율적입니다.
12015|1|prosody|||시작을 알리듯 힘 있게 읽어주세요|지금 바로 시작해 보겠습니다.
12016|1|prosody|||상대의 생각을 묻듯 자연스럽게 읽어주세요|다른 의견이 있으신가요?
12017|1|prosody|||핵심을 전달하듯 분명하게 읽어주세요|이 내용이 핵심 포인트입니다.
12018|1|prosody|||곧 안내할 것처럼 예고하듯 읽어주세요|잠시 후에 다시 안내드리겠습니다.
12019|1|prosody|||마무리하듯 차분하게 읽어주세요|오늘 회의는 여기까지 진행하겠습니다.
12020|1|prosody|||질문을 받듯 열린 느낌으로 읽어주세요|혹시 궁금한 점이 있으신가요?
12021|1|prosody|||진행 방향을 제안하듯 읽어주세요|이 방법으로 진행해 보겠습니다.
12022|1|prosody|||선택지를 열어 두듯 읽어주세요|다른 대안도 검토해 볼 수 있습니다.
12023|1|prosody|||일정을 확인하듯 또렷하게 읽어주세요|내일 오전에 다시 만나는 게 어떨까요?
12024|1|prosody|||부드럽게 권유하듯 읽어주세요|우선 이 순서대로 해보는 게 좋겠습니다.
12025|1|prosody|||경과를 공유하듯 읽어주세요|현재까지는 큰 문제 없이 진행되고 있습니다.
12026|1|prosody|||짧게 확인하듯 읽어주세요|이 부분은 이미 반영되었나요?
12027|1|prosody|||결론을 정리하듯 읽어주세요|지금까지의 내용을 간단히 정리해 보겠습니다.
12028|1|prosody|||비교하듯 살짝 강조해서 읽어주세요|이 방식이 이전 방식보다 더 단순합니다.
12029|1|prosody|||조심스럽게 묻듯 읽어주세요|혹시 다른 우려 사항은 없으신가요?
12030|1|prosody|||다음 행동을 안내하듯 읽어주세요|이제 필요한 파일을 업로드해 주세요.
12031|1|prosody|||자연스럽게 질문하듯 읽어주세요|지금 사용 중인 버전이 어떻게 되나요?
12032|1|prosody|||설득하듯 안정적으로 읽어주세요|이 접근이 유지보수에 더 유리합니다.
12033|1|prosody|||짧고 단정하게 안내하듯 읽어주세요|먼저 기본 설정부터 확인하겠습니다.
12034|1|prosody|||상황을 파악하듯 읽어주세요|현재 서버 상태는 어떤가요?
12035|1|prosody|||강조점을 두고 설명하듯 읽어주세요|가장 먼저 확인할 것은 네트워크 연결입니다.
12036|1|prosody|||한 단계씩 풀어가듯 읽어주세요|차례대로 원인을 좁혀 보겠습니다.
12037|1|prosody|||확인 요청하듯 부드럽게 읽어주세요|로그를 한번 열어서 봐주시겠어요?
12038|1|prosody|||정보를 전달하듯 자연스럽게 읽어주세요|응답 시간은 이전보다 조금 늘어났습니다.
12039|1|prosody|||가볍게 반문하듯 읽어주세요|이 정도면 충분하지 않을까요?
12040|1|prosody|||선택을 제안하듯 읽어주세요|두 가지 방식 중 하나를 고를 수 있습니다.
12041|1|prosody|||재확인하듯 또렷하게 읽어주세요|방금 변경한 설정이 저장되었나요?
12042|1|prosody|||조금 더 자세히 설명하듯 읽어주세요|이 구조에서는 큐가 병목이 될 수 있습니다.
12043|1|prosody|||상대를 안심시키듯 차분하게 읽어주세요|천천히 하나씩 보면 금방 파악할 수 있습니다.
12044|1|prosody|||일상적으로 묻듯 읽어주세요|오늘 컨디션은 좀 어떠세요?
12045|1|prosody|||자연스럽게 이어 말하듯 읽어주세요|그다음에는 테스트 데이터를 넣어 보겠습니다.
12046|1|prosody|||확신 있게 정리하듯 읽어주세요|이 결과는 꽤 의미 있는 변화입니다.
12047|1|prosody|||관심을 보이며 묻듯 읽어주세요|어떤 부분이 가장 불편하셨나요?
12048|1|prosody|||안내 방송처럼 명료하게 읽어주세요|잠시 후 시스템 점검이 시작됩니다.
12049|1|prosody|||조금 놀라며 확인하듯 읽어주세요|정말 이 값이 이렇게까지 올라갔나요?
12050|1|prosody|||공손하게 부탁하듯 읽어주세요|가능하면 오늘 안에 검토 부탁드립니다.
12051|1|prosody|||질문 뒤 기대감을 두고 읽어주세요|이번에는 어떤 결과가 나올까요?
12052|1|prosody|||설명 흐름을 잡아주듯 읽어주세요|먼저 문제 상황부터 다시 보겠습니다.
12053|1|prosody|||담담하게 보고하듯 읽어주세요|현재 CPU 사용률은 안정적인 수준입니다.
12054|1|prosody|||부드럽게 유도하듯 읽어주세요|이제 화면을 아래로 조금 내려 주세요.
12055|1|prosody|||중요도를 실어 읽어주세요|특히 이 로그 라인을 꼭 봐야 합니다.
12056|1|prosody|||가볍게 되묻듯 읽어주세요|그 설정은 이미 적용된 것 아닌가요?
12057|1|prosody|||짧게 확인 요청하듯 읽어주세요|포트가 열려 있는지 확인해 주세요.
12058|1|prosody|||대안을 제시하듯 읽어주세요|필요하면 다른 방식으로도 접근할 수 있습니다.
12059|1|prosody|||정리해 주듯 친절하게 읽어주세요|지금까지 확인한 내용은 세 가지입니다.
12060|1|prosody|||살짝 속도를 늦추며 읽어주세요|이 단계에서는 재부팅을 하지 않는 편이 좋습니다.
12061|1|prosody|||예상하듯 조심스럽게 읽어주세요|아마 여기서 지연이 발생한 것 같습니다.
12062|1|prosody|||선명하게 비교하듯 읽어주세요|개발 환경과 운영 환경의 차이가 큽니다.
12063|1|prosody|||사실을 전달하듯 담백하게 읽어주세요|현재 메모리 사용량은 크게 문제 없어 보입니다.
12064|1|prosody|||짧게 동의를 구하듯 읽어주세요|이 방향으로 가도 괜찮을까요?
12065|1|prosody|||관찰 결과를 말하듯 읽어주세요|응답 패턴이 일정하지 않게 흔들리고 있습니다.
12066|1|prosody|||상황 전환을 알리듯 읽어주세요|이제 로그가 아니라 메트릭을 보겠습니다.
12067|1|prosody|||차분하게 제안하듯 읽어주세요|우선 타임아웃 값을 조금 늘려 보죠.
12068|1|prosody|||설명 끝을 살짝 내려 읽어주세요|이렇게 하면 재현 가능성이 높아집니다.
12069|1|prosody|||일정 조율하듯 읽어주세요|오후 세 시쯤 다시 확인하면 될까요?
12070|1|prosody|||부드럽게 질문하듯 읽어주세요|이 현상은 매일 같은 시간에 발생하나요?
12071|1|prosody|||현황을 보고하듯 읽어주세요|에러 비율은 잠깐 올라갔다가 다시 내려왔습니다.
12072|1|prosody|||핵심만 짚듯 짧게 읽어주세요|문제는 커넥션 반환 지연입니다.
12073|1|prosody|||이유를 설명하듯 읽어주세요|이 구간에서 대기열이 빠르게 쌓였습니다.
12074|1|prosody|||단계를 제시하듯 읽어주세요|먼저 원인을 확인하고 이후 조치를 정하겠습니다.
12075|1|prosody|||차이를 부각하듯 읽어주세요|테스트 서버에서는 같은 증상이 없었습니다.
12076|1|prosody|||조심스럽게 의견을 내듯 읽어주세요|제 생각에는 이 부분을 먼저 보는 게 좋겠습니다.
12077|1|prosody|||상대를 배려하며 묻듯 읽어주세요|혹시 지금 바로 확인 가능하실까요?
12078|1|prosody|||다시 짚어주듯 읽어주세요|중요한 건 GC 자체보다 그 이후의 적체입니다.
12079|1|prosody|||짧게 강조하며 읽어주세요|이 값은 절대 놓치면 안 됩니다.
12080|1|prosody|||문장 끝을 올려 의문을 살려 읽어주세요|정말 여기서 타임아웃이 시작된 걸까요?
12081|1|prosody|||친절하게 안내하듯 읽어주세요|다음 버튼을 눌러서 설정 화면으로 이동해 주세요.
12082|1|prosody|||자연스럽게 설명하듯 읽어주세요|이 설정은 서비스 재시작 없이도 반영됩니다.
12083|1|prosody|||간결하게 보고하듯 읽어주세요|현재 연결 수는 정상 범위입니다.
12084|1|prosody|||한 번 더 확인하듯 읽어주세요|로그 수집 경로가 맞는지 다시 볼까요?
12085|1|prosody|||선택지를 비교하듯 읽어주세요|수동 배포와 자동 배포는 장단점이 다릅니다.
12086|1|prosody|||살짝 강조해서 물어보듯 읽어주세요|정말 이 옵션을 켜야만 하나요?
12087|1|prosody|||흐름을 끊지 않게 읽어주세요|이어서 다음 예시를 보겠습니다.
12088|1|prosody|||명확하게 요청하듯 읽어주세요|재현 절차를 문서로 남겨 주세요.
12089|1|prosody|||부드럽게 설득하듯 읽어주세요|지금은 무리하게 건드리지 않는 편이 좋겠습니다.
12090|1|prosody|||관계를 설명하듯 읽어주세요|큐 길이가 늘면 응답 시간도 함께 증가합니다.
12091|1|prosody|||질문을 짧게 던지듯 읽어주세요|이 값이 왜 이렇게 높죠?
