id|version|type|emotion_level|emotion_intensity|direction|text
11001|1|timbre|||감정을 섞지 말고 중립적이고 안정적인 음색으로 또박또박 읽어주세요|안녕하세요 저는 신석주입니다.
11002|1|timbre|||감정을 섞지 말고 중립적이고 안정적인 음색으로 또박또박 읽어주세요|오늘 날씨가 맑고 바람이 조금 붑니다.
11003|1|timbre|||감정을 섞지 말고 중립적이고 안정적인 음색으로 또박또박 읽어주세요|지금부터 음성 데이터 녹음을 시작하겠습니다.
11004|1|timbre|||감정을 섞지 말고 중립적이고 안정적인 음색으로 또박또박 읽어주세요|이 문장은 중립적인 음색을 확인하기 위한 문장입니다.
11005|1|timbre|||감정을 섞지 말고 중립적이고 안정적인 음색으로 또박또박 읽어주세요|마이크와 입 사이의 거리를 일정하게 유지합니다.
11006|1|timbre|||감정을 섞지 말고 중립적이고 안정적인 음색으로 또박또박 읽어주세요|조용한 환경에서 또렷하게 발음해 주세요.
11007|1|timbre|||감정을 섞지 말고 중립적이고 안정적인 음색으로 또박또박 읽어주세요|현재 시스템 상태는 안정적으로 유지되고 있습니다.
11008|1|timbre|||감정을 섞지 말고 중립적이고 안정적인 음색으로 또박또박 읽어주세요|서버의 응답 시간은 평균 백이십 밀리초입니다.
11009|1|timbre|||감정을 섞지 말고 중립적이고 안정적인 음색으로 또박또박 읽어주세요|오늘 날짜는 이천이십육년 삼월 십일입니다.
11010|1|timbre|||감정을 섞지 말고 중립적이고 안정적인 음색으로 또박또박 읽어주세요|지금 시간은 오전 아홉 시 삼십 분입니다.
11011|1|timbre|||감정을 섞지 말고 중립적이고 안정적인 음색으로 또박또박 읽어주세요|회의는 오후 두 시에 시작될 예정입니다.
11012|1|timbre|||감정을 섞지 말고 중립적이고 안정적인 음색으로 또박또박 읽어주세요|작업 완료까지 약 십 분 정도 걸립니다.
11013|1|timbre|||감정을 섞지 말고 중립적이고 안정적인 음색으로 또박또박 읽어주세요|현재 CPU 사용률은 삼십칠 퍼센트입니다.
11014|1|timbre|||감정을 섞지 말고 중립적이고 안정적인 음색으로 또박또박 읽어주세요|메모리 사용량은 육 점 오 기가바이트입니다.
11015|1|timbre|||감정을 섞지 말고 중립적이고 안정적인 음색으로 또박또박 읽어주세요|네트워크 연결 상태는 정상입니다.
11016|1|timbre|||감정을 섞지 말고 중립적이고 안정적인 음색으로 또박또박 읽어주세요|로그 파일은 지정된 경로에 저장됩니다.
11017|1|timbre|||감정을 섞지 말고 중립적이고 안정적인 음색으로 또박또박 읽어주세요|테스트 결과는 비교적 안정적인 편입니다.
11018|1|timbre|||감정을 섞지 말고 중립적이고 안정적인 음색으로 또박또박 읽어주세요|이 기능은 사용자 설정에 따라 동작합니다.
11019|1|timbre|||감정을 섞지 말고 중립적이고 안정적인 음색으로 또박또박 읽어주세요|앱 실행 후 초기 화면이 표시됩니다.
11020|1|timbre|||감정을 섞지 말고 중립적이고 안정적인 음색으로 또박또박 읽어주세요|요청이 성공적으로 처리되었습니다.
11021|1|timbre|||감정을 섞지 말고 중립적이고 안정적인 음색으로 또박또박 읽어주세요|데이터베이스 연결이 정상적으로 완료되었습니다.
11022|1|timbre|||감정을 섞지 말고 중립적이고 안정적인 음색으로 또박또박 읽어주세요|API 응답 본문을 다시 확인하겠습니다.
11023|1|timbre|||감정을 섞지 말고 중립적이고 안정적인 음색으로 또박또박 읽어주세요|HTTP 상태 코드는 이백입니다.
11024|1|timbre|||감정을 섞지 말고 중립적이고 안정적인 음색으로 또박또박 읽어주세요|재시도 횟수는 세 번으로 설정되어 있습니다.
11025|1|timbre|||감정을 섞지 말고 중립적이고 안정적인 음색으로 또박또박 읽어주세요|타임아웃 값은 오 초로 지정되어 있습니다.
11026|1|timbre|||감정을 섞지 말고 중립적이고 안정적인 음색으로 또박또박 읽어주세요|업로드된 파일의 크기는 십오 메가바이트입니다.
11027|1|timbre|||감정을 섞지 말고 중립적이고 안정적인 음색으로 또박또박 읽어주세요|다운로드 속도는 이전보다 조금 빨라졌습니다.
11028|1|timbre|||감정을 섞지 말고 중립적이고 안정적인 음색으로 또박또박 읽어주세요|현재 접속 중인 사용자는 열두 명입니다.
11029|1|timbre|||감정을 섞지 말고 중립적이고 안정적인 음색으로 또박또박 읽어주세요|최근 변경 사항은 문서에 정리되어 있습니다.
11030|1|timbre|||감정을 섞지 말고 중립적이고 안정적인 음색으로 또박또박 읽어주세요|이 설정은 서버 재시작 없이 반영됩니다.
11031|1|timbre|||감정을 섞지 말고 중립적이고 안정적인 음색으로 또박또박 읽어주세요|배포 버전은 일 점 이 점 삼입니다.
11032|1|timbre|||감정을 섞지 말고 중립적이고 안정적인 음색으로 또박또박 읽어주세요|깃 브랜치 이름은 메인 브랜치입니다.
11033|1|timbre|||감정을 섞지 말고 중립적이고 안정적인 음색으로 또박또박 읽어주세요|커밋 메시지는 규칙에 맞게 작성합니다.
11034|1|timbre|||감정을 섞지 말고 중립적이고 안정적인 음색으로 또박또박 읽어주세요|도커 컨테이너가 정상적으로 실행 중입니다.
11035|1|timbre|||감정을 섞지 말고 중립적이고 안정적인 음색으로 또박또박 읽어주세요|포트 번호는 팔천팔십입니다.
11036|1|timbre|||감정을 섞지 말고 중립적이고 안정적인 음색으로 또박또박 읽어주세요|호스트 이름은 로컬호스트입니다.
