id|version|type|emotion_level|emotion_intensity|direction|text
13001|1|emotion|happy|1|밝지만 과하지 않게 자연스럽게 읽어주세요|좋은 결과가 나와서 다행입니다.
13002|1|emotion|happy|2|기쁜 마음이 느껴지도록 밝게 읽어주세요|정말 반가운 소식이네요.
13003|1|emotion|happy|3|신나는 느낌을 살려 힘 있게 읽어주세요|오늘은 정말 최고의 날입니다.
13004|1|emotion|sad|1|차분하고 담담하게 읽어주세요|조금 아쉽지만 받아들이겠습니다.
13005|1|emotion|sad|2|아쉬운 감정이 느껴지도록 조용히 읽어주세요|생각보다 결과가 좋지 않았네요.
13006|1|emotion|sad|3|무거운 감정을 담아 천천히 읽어주세요|마음이 많이 무거운 하루입니다.
13007|1|emotion|angry|1|단호하지만 감정을 절제해서 읽어주세요|이 부분은 다시 확인이 필요합니다.
13008|1|emotion|angry|2|답답한 느낌을 담아 단호하게 읽어주세요|왜 같은 문제가 계속 반복되는 걸까요.
13009|1|emotion|angry|3|강한 불만이 느껴지도록 힘 있게 읽어주세요|이건 정말 납득하기 어렵습니다.
13010|1|emotion|calm|1|편안하고 안정적인 톤으로 읽어주세요|천천히 하나씩 보면 괜찮을 겁니다.
13011|1|emotion|calm|2|차분하게 안정을 주듯 읽어주세요|지금은 서두르지 않아도 됩니다.
13012|1|emotion|calm|3|깊이 안정시키듯 느리고 부드럽게 읽어주세요|괜찮습니다, 차분히 정리해 봅시다.
13013|1|emotion|comfort|1|부드럽게 위로하듯 읽어주세요|걱정하지 않으셔도 됩니다.
13014|1|emotion|comfort|2|따뜻한 마음이 느껴지도록 읽어주세요|괜찮아요, 충분히 그럴 수 있습니다.
13015|1|emotion|comfort|3|진심으로 위로하듯 깊게 읽어주세요|지금까지 정말 많이 버티셨습니다.
13016|1|emotion|worried|1|조심스럽고 낮은 톤으로 읽어주세요|조금 더 지켜볼 필요가 있겠습니다.
13017|1|emotion|worried|2|염려가 느껴지도록 신중하게 읽어주세요|이 부분은 다시 점검하는 게 좋겠습니다.
13018|1|emotion|worried|3|불안한 감정을 담아 천천히 읽어주세요|상황이 생각보다 좋지 않아 보입니다.
13019|1|emotion|serious|1|진지하고 또렷하게 읽어주세요|이 사안은 가볍게 볼 수 없습니다.
13020|1|emotion|serious|2|무게감 있게 천천히 읽어주세요|지금은 신중한 판단이 필요한 시점입니다.
13021|1|emotion|serious|3|매우 엄중한 분위기로 읽어주세요|이번 결정은 큰 영향을 줄 수 있습니다.
13022|1|emotion|excited|1|기대감을 살짝 담아 읽어주세요|이제 곧 시작된다는 생각에 설렙니다.
13023|1|emotion|excited|2|활기차고 생기 있게 읽어주세요|정말 기대하던 순간이 다가오고 있습니다.
